"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
1,Start week,52,51,-0.00601807232556302,1
2,Start week,51,4,-Inf,5
3,Start week,46,47,0,1
4,Start week,50,3,-Inf,5
5,Start week,6,7,0,1
6,Start week,45,47,-2.41911890925,2
7,Start week,0,7,-1.60445037092306,NA
8,Start week,5,5,-0.019182819416774,0
9,Start week,52,3,-Inf,3
10,Start week,3,2,-0.0714960017050699,1
1,Peak week,10,10,0,0
2,Peak week,10,11,0,1
3,Peak week,11,10,0,1
4,Peak week,10,10,0,0
5,Peak week,10,10,0,0
6,Peak week,7,7,0,0
7,Peak week,9,10,-0.3078847797693,1
8,Peak week,9,NA,0,NA
9,Peak week,7,7,0,0
10,Peak week,9,7,-2.25379492882461,2
1,Peak intensity,2.30700327268382,2.5,0,0.2
2,Peak intensity,4.20854103550873,4.1,0,0.100000000000001
3,Peak intensity,3.24504681161101,4,-Inf,0.8
4,Peak intensity,3.41936723916187,3.6,0,0.2
5,Peak intensity,2.79604625538567,3.2,0,0.4
6,Peak intensity,5.04822035683413,5.3,0,0.3
7,Peak intensity,1.68294424394565,2.5,-Inf,0.8
8,Peak intensity,2.23676013570433,2.2,0,0
9,Peak intensity,3.59156646605099,4.4,-Inf,0.8
10,Peak intensity,2.33036485675618,2.4,0,0.1
1,Forecast,0.911018740232485,0.9,0,0
1,Forecast,0.804099891624668,0.9,0,0.1
1,Forecast,0.718221936595097,0.8,0,0.1
1,Forecast,0.650229098499169,0.7,0,0
2,Forecast,1.98144494392875,1.3,-Inf,0.7
2,Forecast,1.8244759120156,1.3,-0.25231492861449,0.5
2,Forecast,1.70091208186041,1.2,-0.0534007767271152,0.5
2,Forecast,1.60497603273463,0.8,-Inf,0.8
3,Forecast,1.59063370360127,1.7,0,0.0999999999999999
3,Forecast,1.45416983382637,1.7,0,0.2
3,Forecast,1.34628704273054,1.6,0,0.3
3,Forecast,1.26235389739887,1.8,-0.447850824604602,0.5
4,Forecast,1.17973333086789,1.4,0,0.2
4,Forecast,1.04832642146033,1.2,0,0.2
4,Forecast,0.949192366493739,1.1,0,0.2
4,Forecast,0.875335166323518,1.1,0,0.2
5,Forecast,0.909758160166566,1.1,0,0.2
5,Forecast,0.823752102564409,1,0,0.2
5,Forecast,0.761045462843439,0.8,0,0
5,Forecast,0.715791848247717,0.9,0,0.2
6,Forecast,2.09312038546532,2.1,0,0
6,Forecast,1.99031438869369,2.1,0,0.1
6,Forecast,1.91097484063677,2.1,0,0.2
6,Forecast,1.8501672012363,1.9,0,0
7,Forecast,1.37353415679692,0.7,-4.8283137373023,0.7
7,Forecast,1.32102358008833,0.6,-6.21460809842219,0.7
7,Forecast,1.26720880316808,0.3,-Inf,1
7,Forecast,1.21270497351276,0.4,-Inf,0.8
8,Forecast,0.784896154874172,0.8,0,0
8,Forecast,0.706315675415165,0.7,0,0
8,Forecast,0.646035827425992,0.7,0,0.1
8,Forecast,0.600295008932968,0.7,0,0.1
9,Forecast,1.84432735612512,1.5,0,0.3
9,Forecast,1.7310475510313,1.5,0,0.2
9,Forecast,1.633238832748,1.4,0,0.2
9,Forecast,1.54958564601834,1.3,0,0.2
10,Forecast,0.587508811360191,0.5,0,0.1
10,Forecast,0.51969757091277,0.5,0,0
10,Forecast,0.468930949588516,0.2,0,0.3
10,Forecast,0.431236216449685,0.2,0,0.2
