"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week"," 2.0000000","51.000000","-1.000000e+01","3.000000000"
" 2","Start week"," 4.0000000"," 4.000000"," 0.000000e+00","0.000000000"
" 3","Start week"," 1.0000000","47.000000","-1.000000e+01","6.000000000"
" 4","Start week"," 5.0000000"," 3.000000","-2.047943e+00","2.000000000"
" 5","Start week"," 5.0000000"," 7.000000","-1.714798e+00","2.000000000"
" 6","Start week","49.0000000","47.000000","-1.000000e+01","2.000000000"
" 7","Start week"," 7.0000000"," 7.000000"," 0.000000e+00","0.000000000"
" 8","Start week"," 3.0000000"," 5.000000","-1.120858e+00","2.000000000"
" 9","Start week"," 4.0000000"," 3.000000"," 0.000000e+00","1.000000000"
"10","Start week"," 2.0000000"," 3.000000","-8.032172e-03","1.000000000"
" 1","Peak week"," 9.0000000","10.000000","-5.129329e-02","1.000000000"
" 2","Peak week","11.0000000","11.000000"," 0.000000e+00","0.000000000"
" 3","Peak week"," 9.0000000","10.000000"," 0.000000e+00","1.000000000"
" 4","Peak week","10.0000000","10.000000"," 0.000000e+00","0.000000000"
" 5","Peak week"," 9.0000000","10.000000"," 0.000000e+00","1.000000000"
" 6","Peak week"," 5.0000000"," 7.000000","-1.000000e+01","2.000000000"
" 7","Peak week","10.0000000","10.000000"," 0.000000e+00","0.000000000"
" 8","Peak week"," 9.0000000"," 8.000000"," 0.000000e+00","1.000000000"
" 9","Peak week"," 8.0000000"," 7.000000"," 0.000000e+00","1.000000000"
"10","Peak week"," 9.0000000"," 7.000000","-1.331806e+00","2.000000000"
" 1","Peak intensity"," 2.4409936"," 2.544870","-1.110223e-16","0.103876358"
" 2","Peak intensity"," 4.7766672"," 4.079850","-3.912023e+00","0.696817246"
" 3","Peak intensity"," 3.3302482"," 3.982520","-5.298317e+00","0.652271806"
" 4","Peak intensity"," 4.1993728"," 3.614040","-1.864330e+00","0.585332751"
" 5","Peak intensity"," 2.6951265"," 3.241550","-8.121006e-02","0.546423508"
" 6","Peak intensity"," 5.4643622"," 5.315150"," 0.000000e+00","0.149212210"
" 7","Peak intensity"," 2.9678413"," 2.503620","-1.672359e-01","0.464221339"
" 8","Peak intensity"," 2.1720215"," 2.178280"," 0.000000e+00","0.006258489"
" 9","Peak intensity"," 4.5482539"," 4.374400"," 0.000000e+00","0.173853906"
"10","Peak intensity"," 2.2161920"," 2.442890"," 0.000000e+00","0.226698024"
" 1","Forecast"," 0.9208314"," 0.898920"," 0.000000e+00","0.021911416"
" 2","Forecast"," 2.0842621"," 0.895756"," 0.000000e+00","0.056137401"
" 3","Forecast"," 1.7386190"," 0.839910"," 0.000000e+00","0.064219564"
" 4","Forecast"," 1.1467971"," 0.738543"," 0.000000e+00","0.012657655"
" 5","Forecast"," 1.1392465"," 1.288670","-1.000000e+01","0.795592066"
" 6","Forecast"," 2.4615216"," 1.256270","-1.000000e+01","0.719425954"
" 7","Forecast"," 1.0735977"," 1.214860","-1.000000e+01","0.668834722"
" 8","Forecast"," 0.8951575"," 0.831890","-1.000000e+01","0.975450649"
" 9","Forecast"," 1.4926719"," 1.724100"," 0.000000e+00","0.014519036"
"10","Forecast"," 0.7222666"," 1.662070"," 0.000000e+00","0.012005883"
" 1","Forecast"," 0.9208314"," 1.551870"," 0.000000e+00","0.029096449"
" 2","Forecast"," 2.0842621"," 1.803950"," 0.000000e+00","0.276308593"
" 3","Forecast"," 1.7386190"," 1.408500"," 0.000000e+00","0.261702900"
" 4","Forecast"," 1.1467971"," 1.210330"," 0.000000e+00","0.098635898"
" 5","Forecast"," 1.1392465"," 1.070720"," 0.000000e+00","0.013102148"
" 6","Forecast"," 2.4615216"," 1.104860"," 0.000000e+00","0.069849140"
" 7","Forecast"," 1.0735977"," 1.144310"," 0.000000e+00","0.005063500"
" 8","Forecast"," 0.8951575"," 1.031910"," 0.000000e+00","0.045266385"
" 9","Forecast"," 1.4926719"," 0.806130"," 0.000000e+00","0.224872253"
"10","Forecast"," 0.7222666"," 0.885953"," 0.000000e+00","0.111013086"
" 1","Forecast"," 0.9208314"," 2.086840"," 0.000000e+00","0.374681558"
" 2","Forecast"," 2.0842621"," 2.096390"," 0.000000e+00","0.359302573"
" 3","Forecast"," 1.7386190"," 2.175180"," 0.000000e+00","0.276588096"
" 4","Forecast"," 1.1467971"," 1.960650"," 0.000000e+00","0.487440809"
" 5","Forecast"," 1.1392465"," 0.704888","-1.000500e-03","0.368709742"
" 6","Forecast"," 2.4615216"," 0.593350","-5.012542e-03","0.424458626"
" 7","Forecast"," 1.0735977"," 0.322970","-4.509856e-01","0.518382898"
" 8","Forecast"," 0.8951575"," 0.395716"," 0.000000e+00","0.250086424"
" 9","Forecast"," 1.4926719"," 0.818413"," 0.000000e+00","0.076744467"
"10","Forecast"," 0.7222666"," 0.739380"," 0.000000e+00","0.081976991"
" 1","Forecast"," 0.9208314"," 0.737810"," 0.000000e+00","0.024624470"
" 2","Forecast"," 2.0842621"," 0.724162"," 0.000000e+00","0.008464860"
" 3","Forecast"," 1.7386190"," 1.527410"," 0.000000e+00","0.034738125"
" 4","Forecast"," 1.1467971"," 1.494640"," 0.000000e+00","0.018035956"
" 5","Forecast"," 1.1392465"," 1.388240"," 0.000000e+00","0.077024398"
" 6","Forecast"," 2.4615216"," 1.321650"," 0.000000e+00","0.130798547"
" 7","Forecast"," 1.0735977"," 0.529396"," 0.000000e+00","0.192870632"
" 8","Forecast"," 0.8951575"," 0.530742"," 0.000000e+00","0.128477405"
" 9","Forecast"," 1.4926719"," 0.201718"," 0.000000e+00","0.409442987"
"10","Forecast"," 0.7222666"," 0.187745"," 0.000000e+00","0.387161279"
