"","Target","HHS.Region","Actual.Value","Log.score","Absolute.value"
"1",1,1,51,-Inf,4
"2",1,2,4,0,0
"3",1,3,47,-2.20727491318972,2
"4",1,4,3,-0.474815186242958,1
"5",1,5,7,-Inf,3
"6",1,6,47,-Inf,2
"7",1,7,7,0,1
"8",1,8,5,-0.027371196796132,1
"9",1,9,3,0,1
"10",1,10,2,-6.90775527898214,2
"11",2,1,10,-1.24816342278214,1
"12",2,2,11,0,0
"13",2,3,10,-1.2108855311509,5
"14",2,4,10,0,1
"15",2,5,10,-0.291667782630122,2
"16",2,6,7,-1.54808526437657,2
"17",2,7,10,-0.0404748325657182,1
"18",2,8,8,11,-0.587570324668991
"19",2,9,7,-0.0861026990534116,1
"20",2,10,7,-1.1452180222624,2
"21",3,1,2.5,0,0.4
"22",3,2,4.1,-Inf,0.9
"23",3,3,4,-Inf,1
"24",3,4,3.6,0,0.4
"25",3,5,3.2,0,0.2
"26",3,6,5.6,-1.34323487165944,0.3
"27",3,7,2.5,0,0.5
"28",3,8,2.2,0,0.2
"29",3,9,4.4,-1.63989711991881,0.399999999999999
"30",3,10,2.4,0,0.4
"31",4,1,0.9,0,0.1
"32",4,1,0.9,0,0.1
"33",4,1,0.8,0,0.2
"34",4,1,0.7,0,0.3
"35",4,2,1.3,-Inf,0.7
"36",4,2,1.3,-Inf,0.7
"37",4,2,1.2,-Inf,0.8
"38",4,2,0.8,-Inf,1.2
"39",4,3,1.7,0,0.3
"40",4,3,1.7,0,0.3
"41",4,3,1.6,0,0.4
"42",4,3,1.9,-0.059750004405774,0
"43",4,4,1.4,0,0.4
"44",4,4,1.2,0,0.2
"45",4,4,1.1,0,0.1
"46",4,4,1.1,0,0.1
"47",4,5,1.1,0,0.1
"48",4,5,1,0,0
"49",4,5,0.8,0,0.2
"50",4,5,0.9,0,0.1
"51",4,6,2.3,-0.0140989243795016,0.3
"52",4,6,2.3,-0.00702461493696447,0.3
"53",4,6,2.4,-0.00200200267067308,0.4
"54",4,6,2.1,-0.00200200267067308,0.1
"55",4,7,0.7,0,0.3
"56",4,7,0.6,0,0.4
"57",4,7,0.3,-Inf,0.7
"58",4,7,0.4,-Inf,0.6
"59",4,8,0.8,0,0.2
"60",4,8,0.7,0,0.3
"61",4,8,0.7,0,0.3
"62",4,8,0.7,0,0.3
"63",4,9,1.5,0,0.2
"64",4,9,1.5,0,0.4
"65",4,9,1.4,-0.00702461493696447,0.4
"66",4,9,1.4,-0.00100050033358353,0.4
"67",4,10,0.5,0,0.5
"68",4,10,0.5,0,0.5
"69",4,10,0.2,-Inf,0.8
"70",4,10,0.2,-Inf,0.8
