"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","50.0",NA,NA,NA
" 2","Start week","48.0",NA,NA,NA
" 3","Start week"," 4.0",NA,NA,NA
" 4","Start week","49.0","45.000000","-10.000000000","4.000000"
" 5","Start week"," 5.0",NA,NA,NA
" 6","Start week","49.0",NA,NA,NA
" 7","Start week","49.0",NA,NA,NA
" 8","Start week"," 3.0",NA,NA,NA
" 9","Start week","49.0",NA,NA,NA
"10","Start week","46.0",NA,NA,NA
" 1","Peak week"," 2.0",NA,NA,NA
" 2","Peak week"," 2.0",NA,NA,NA
" 3","Peak week"," 8.0",NA,NA,NA
" 4","Peak week"," 9.0",NA,NA,NA
" 5","Peak week"," 9.0",NA,NA,NA
" 6","Peak week"," 1.0",NA,NA,NA
" 7","Peak week"," 2.0",NA,NA,NA
" 8","Peak week"," 7.0",NA,NA,NA
" 9","Peak week"," 2.0",NA,NA,NA
"10","Peak week","52.0",NA,NA,NA
" 1","Peak intensity"," 4.2",NA,NA,NA
" 2","Peak intensity"," 5.9",NA,NA,NA
" 3","Peak intensity"," 3.6",NA,NA,NA
" 4","Peak intensity"," 3.5",NA,NA,NA
" 5","Peak intensity"," 2.6",NA,NA,NA
" 6","Peak intensity"," 7.7",NA,NA,NA
" 7","Peak intensity"," 5.5",NA,NA,NA
" 8","Peak intensity"," 2.5",NA,NA,NA
" 9","Peak intensity"," 5.9",NA,NA,NA
"10","Peak intensity"," 4.2",NA,NA,NA
" 1","Forecast"," 0.8"," 0.990534","  0.000000000","0.190534"
" 1","Forecast"," 0.8"," 0.921800","  0.000000000","0.121800"
" 1","Forecast"," 0.9"," 0.957547","  0.000000000","0.057547"
" 1","Forecast"," 1.0"," 0.895409"," -0.036663984","0.104591"
" 2","Forecast"," 2.1"," 2.309090","  0.000000000","0.209090"
" 2","Forecast"," 2.3"," 2.689120","  0.000000000","0.389120"
" 2","Forecast"," 2.6"," 2.714720","  0.000000000","0.114720"
" 2","Forecast"," 2.9"," 3.465070"," -1.609437912","0.565070"
" 3","Forecast"," 1.3"," 1.384380","  0.000000000","0.084380"
" 3","Forecast"," 1.4"," 1.458400","  0.000000000","0.058400"
" 3","Forecast"," 1.4"," 1.480980","  0.000000000","0.080980"
" 3","Forecast"," 1.4"," 1.823990"," -0.012578782","0.423990"
" 4","Forecast"," 1.3"," 1.660330"," -0.005012542","0.360330"
" 4","Forecast"," 1.4"," 1.714430"," -0.001000500","0.314430"
" 4","Forecast"," 1.4"," 1.987830"," -0.638658995","0.587830"
" 4","Forecast"," 1.5"," 2.148370"," -0.667479434","0.648370"
" 5","Forecast"," 0.9"," 1.258830"," -0.012578782","0.358830"
" 5","Forecast"," 0.9"," 1.221740","  0.000000000","0.321740"
" 5","Forecast"," 0.9"," 1.188000","  0.000000000","0.288000"
" 5","Forecast"," 0.9"," 1.234760","  0.000000000","0.334760"
" 6","Forecast"," 2.2"," 1.954620","  0.000000000","0.245380"
" 6","Forecast"," 2.4"," 2.115820","  0.000000000","0.284180"
" 6","Forecast"," 2.7"," 2.270770","  0.000000000","0.429230"
" 6","Forecast"," 3.2"," 2.546390"," -6.907755279","0.653610"
" 7","Forecast"," 0.7"," 0.893070","  0.000000000","0.193070"
" 7","Forecast"," 0.8"," 0.973237","  0.000000000","0.173237"
" 7","Forecast"," 1.0"," 1.035550","  0.000000000","0.035550"
" 7","Forecast"," 1.3"," 1.512230","  0.000000000","0.212230"
" 8","Forecast"," 0.7"," 0.510761","  0.000000000","0.189239"
" 8","Forecast"," 0.7"," 0.750619","  0.000000000","0.050619"
" 8","Forecast"," 0.7"," 0.899856","  0.000000000","0.199856"
" 8","Forecast"," 0.7"," 0.794739","  0.000000000","0.094739"
" 9","Forecast"," 1.3"," 1.581370","  0.000000000","0.281370"
" 9","Forecast"," 1.4"," 1.593620","  0.000000000","0.193620"
" 9","Forecast"," 1.6"," 1.687950","  0.000000000","0.087950"
" 9","Forecast"," 1.8"," 2.023600"," -0.014098924","0.223600"
"10","Forecast"," 0.7"," 0.570052","  0.000000000","0.129948"
"10","Forecast"," 0.8"," 0.763657"," -0.004008021","0.036343"
"10","Forecast"," 1.0"," 0.690179"," -0.275753502","0.309821"
"10","Forecast"," 1.4"," 0.773161"," -0.796287939","0.626839"
