"week" "date" "X0" "X28542" "X65473" "X29207" "X76544" "X31905" "X42223" "X60088" "X28310" "X32544" "X79920" "X9054" "X40121" "X13602" "X80913" "X9096" "X98433" "X31314" "X66442" "X30905" "X22134" "X96205" "X98315" "X92055" "X78230" "X77553" "X45433" "X73503" "X9622" "X9131" "X96819" "X96258" "X9139" "X9086" "X96257" "X9114" "X39534" "X80011" "X80918" "X9177" "X96224" "X95521" "X96271" "X33139" "X9033" "X98431" "X9034" "X99703" "X22031" "X9112" "X20307" "X9173" "X79918" "X98207" "X9136" "X96861" "X9074" "X99802" "X901" "X22191" "X66027" "X96595" "X23513" "X96218" "X96260" "X94535" "X10305" "X10996" "X9140" "X92134" "X33172" "X46124" "X99835" "X9613" "X604" "X64147" "X934" "X97459" "X54656" "X89191" "X9589" "X32542" "X9724" "X90731" "X9468" "X48045" "X23320" "X98438" "X8640" "X28308" "X96859" "X98760" "X96350" "X9340" "X23456" "X80907" "X92123" "X8405" "X99506" "X6320" "X9089"
"1" 1 "1/3/00" 112 12 29 0 6 0 1 0 3 34 0 16 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"2" 2 "1/10/00" 53 2 21 0 2 0 0 0 1 12 0 6 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"3" 3 "1/17/00" 78 5 37 0 10 0 1 0 1 6 0 9 1 2 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"4" 4 "1/24/00" 70 4 26 0 5 0 1 0 0 15 0 9 0 0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 5 "1/31/00" 118 32 19 0 2 1 0 0 8 9 4 10 0 0 0 17 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"6" 6 "2/7/00" 105 20 41 0 3 0 0 0 0 16 1 13 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"7" 7 "2/14/00" 43 9 15 0 1 0 0 0 0 5 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"8" 8 "2/21/00" 73 3 36 0 0 0 0 0 0 14 1 11 0 0 0 3 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"9" 9 "2/28/00" 58 5 27 0 0 3 0 0 1 8 0 9 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10" 10 "3/6/00" 69 4 35 0 0 0 0 0 0 8 0 15 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
