"week" "date" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X99506" "X29207" "X78234" "X32542" "X42223" "X23511" "X76544" "X79920" "X22134" "X89191" "X28547" "X94535" "X98431" "X28310" "X32214" "X85309" "X30905" "X20762" "X22060" "X40121" "X39534" "X23801" "X29905" "X23604" "X32228" "X20889" "X92278" "X60088" "X9180" "X83648" "X66442" "X36112" "X87117" "X96859" "X65473" "X29152" "X31314" "X96319" "X96350" "X78843" "X84056" "X31905" "X57706" "X71459"
"1" 13 "3/30/09" 3 0 4 1 0 1 1 7 0 0 1 0 1 0 0 0 3 3 3 0 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 3 0 0 2 0
"2" 14 "4/6/09" 1 2 6 1 4 1 0 7 0 1 0 0 0 1 0 0 3 1 2 0 3 0 0 0 2 3 1 0 2 0 3 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 0 1 1
"3" 15 "4/13/09" 1 2 3 3 1 2 0 8 0 0 3 1 0 2 0 1 1 1 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 2 1 0 2 0 0 1 0 0 1 0
"4" 16 "4/20/09" 0 5 5 2 4 1 0 4 1 0 0 0 1 1 0 0 0 4 1 0 1 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 17 "4/27/09" 3 8 12 16 3 10 0 0 13 1 3 0 3 4 0 2 1 3 3 3 1 0 2 1 0 0 0 1 0 0 0 2 3 3 0 0 2 0 0 4 0 0 1 1 0 0 0 1 4 3
"6" 18 "5/4/09" 0 7 4 3 2 6 1 2 1 2 0 0 0 2 0 1 4 1 1 4 0 1 1 0 0 1 4 0 0 0 1 0 2 13 0 0 2 1 0 5 1 0 1 1 1 0 0 1 0 0
"7" 19 "5/11/09" 1 4 2 4 1 2 2 5 0 0 1 0 0 2 0 0 0 4 2 2 0 0 0 1 0 0 1 0 0 0 0 0 1 24 0 0 9 0 0 2 1 0 2 1 0 0 1 0 0 0
"8" 20 "5/18/09" 0 1 0 5 0 2 3 9 4 1 1 1 0 2 0 0 0 0 2 1 2 0 2 1 0 0 4 0 2 0 0 0 0 13 0 1 8 0 0 1 0 0 0 0 0 1 1 0 1 1
"9" 21 "5/25/09" 3 0 1 3 2 4 0 1 0 0 1 0 1 0 3 0 5 0 6 0 2 1 3 5 3 0 4 0 0 0 1 1 0 5 0 0 3 0 0 5 0 0 2 0 0 1 0 0 0 1
"10" 22 "6/1/09" 2 1 5 2 3 7 0 0 0 0 1 0 4 0 2 2 3 3 12 1 1 0 1 0 0 0 2 0 1 0 0 1 1 5 1 0 4 0 0 3 0 0 2 0 0 0 0 0 0 0
"11" 23 "6/8/09" 8 2 3 3 7 5 0 3 0 0 1 0 0 10 14 1 11 4 12 4 1 0 3 1 1 0 0 0 1 0 2 4 1 6 0 0 0 0 0 2 0 0 0 1 0 0 1 0 1 0
"12" 24 "6/15/09" 6 6 0 15 4 11 0 9 7 1 0 1 1 6 7 0 6 3 5 2 1 0 1 1 5 0 0 2 2 2 1 2 11 1 1 0 3 0 0 2 0 0 2 0 1 3 0 0 0 0
"13" 25 "6/22/09" 5 6 9 14 6 15 4 26 40 0 0 1 4 4 18 0 6 9 4 2 1 0 4 1 0 0 0 6 10 3 1 1 4 3 0 0 0 0 0 4 1 1 1 0 0 3 1 1 0 1
"14" 26 "6/29/09" 3 2 16 15 3 23 4 60 35 1 0 0 7 1 6 0 9 12 5 3 1 0 5 0 3 0 0 0 9 0 0 2 3 2 0 0 2 0 0 18 1 0 0 0 0 1 0 0 0 0
"15" 27 "7/6/09" 1 0 14 15 4 13 3 36 20 4 3 1 2 2 37 1 2 7 7 5 0 0 6 1 4 0 0 0 0 0 4 2 1 4 0 0 2 0 1 9 2 0 0 0 0 7 0 0 0 0
"16" 28 "7/13/09" 0 3 10 24 2 7 4 36 29 1 0 3 4 3 159 3 6 2 2 1 2 2 11 1 2 0 1 0 13 0 1 3 2 2 0 0 1 0 0 9 2 0 4 0 0 0 0 0 0 6
"17" 29 "7/20/09" 1 0 5 20 1 11 5 14 34 1 1 0 9 0 11 2 4 7 1 0 7 0 9 2 1 5 1 0 6 0 0 0 1 0 19 0 1 2 1 9 1 1 0 0 0 6 0 0 0 11
"18" 30 "7/27/09" 8 7 6 7 1 2 2 30 25 4 0 2 3 5 2 0 3 4 1 0 2 0 1 4 1 5 3 4 15 0 7 0 9 2 6 0 0 1 0 5 2 0 2 0 0 5 0 0 1 4
"19" 31 "8/3/09" 4 2 10 12 2 3 4 59 22 8 3 1 5 2 0 0 3 2 0 1 4 0 13 0 3 8 1 3 0 0 5 0 4 4 6 2 0 0 0 5 1 0 3 0 0 2 0 3 0 2
"20" 32 "8/10/09" 0 2 9 4 4 0 3 25 4 2 1 0 8 8 0 2 9 6 3 4 4 0 10 1 3 0 0 0 0 0 0 1 4 2 0 0 2 1 1 8 3 0 4 0 1 2 2 1 1 18
"21" 33 "8/17/09" 3 3 9 5 0 1 2 3 8 7 0 0 18 11 1 1 2 5 0 4 7 1 7 0 2 5 1 1 0 0 4 0 3 3 1 0 1 1 0 6 1 0 4 0 1 6 0 4 0 13
"22" 34 "8/24/09" 0 5 10 4 4 7 21 5 3 19 2 0 14 3 0 1 2 5 0 7 3 0 6 2 2 0 3 4 0 0 3 2 3 3 2 1 0 8 0 2 2 1 5 0 5 4 0 6 0 8
"23" 35 "8/31/09" 4 20 6 19 1 5 23 6 0 13 3 0 11 1 0 0 3 3 0 4 5 0 21 2 0 4 6 1 0 0 3 2 1 0 0 0 1 3 0 0 2 0 8 0 25 3 1 17 1 8
"24" 36 "9/7/09" 4 25 10 13 2 1 19 7 2 23 4 2 10 4 2 1 7 8 1 5 15 1 11 3 1 6 9 3 0 1 12 5 0 1 0 2 8 5 3 2 5 0 7 1 9 5 0 10 1 11
