"week" "date" "X23708" "X80913" "X78236" "X92134" "X92055" "X99506" "X29207" "X78234" "X32542" "X76544"
"1" 1 "1/3/00" NA NA NA NA NA NA NA NA NA NA
"2" 2 "1/10/00" NA NA NA NA NA NA NA NA NA NA
"3" 3 "1/17/00" NA NA NA NA NA NA NA NA NA NA
"4" 4 "1/24/00" NA NA NA NA NA NA NA NA NA NA
"5" 5 "1/31/00" NA NA NA NA NA NA NA NA NA NA
"6" 6 "2/7/00" NA NA NA NA NA NA NA NA NA NA
"7" 7 "2/14/00" NA NA NA NA NA NA NA NA NA NA
"8" 8 "2/21/00" NA NA NA NA NA NA NA NA NA NA
"9" 9 "2/28/00" NA NA NA NA NA NA NA NA NA NA
"10" 10 "3/6/00" NA NA NA NA NA NA NA NA NA NA
"11" 11 "3/13/00" NA NA NA NA NA NA NA NA NA NA
"12" 12 "3/20/00" NA NA NA NA NA NA NA NA NA NA
"13" 13 "3/27/00" NA NA NA NA NA NA NA NA NA NA
"14" 14 "4/3/00" NA NA NA NA NA NA NA NA NA NA
"15" 15 "4/10/00" NA NA NA NA NA NA NA NA NA NA
"16" 16 "4/17/00" NA NA NA NA NA NA NA NA NA NA
"17" 17 "4/24/00" NA NA NA NA NA NA NA NA NA NA
"18" 18 "5/1/00" NA NA NA NA NA NA NA NA NA NA
"19" 19 "5/8/00" NA NA NA NA NA NA NA NA NA NA
"20" 20 "5/15/00" NA NA NA NA NA NA NA NA NA NA
"21" 21 "5/22/00" NA NA NA NA NA NA NA NA NA NA
"22" 22 "5/29/00" NA NA NA NA NA NA NA NA NA NA
"23" 23 "6/5/00" NA NA NA NA NA NA NA NA NA NA
"24" 24 "6/12/00" NA NA NA NA NA NA NA NA NA NA
"25" 25 "6/19/00" NA NA NA NA NA NA NA NA NA NA
"26" 26 "6/26/00" NA NA NA NA NA NA NA NA NA NA
"27" 27 "7/3/00" NA NA NA NA NA NA NA NA NA NA
"28" 28 "7/10/00" NA NA NA NA NA NA NA NA NA NA
"29" 29 "7/17/00" NA NA NA NA NA NA NA NA NA NA
"30" 30 "7/24/00" NA NA NA NA NA NA NA NA NA NA
"31" 31 "7/31/00" NA NA NA NA NA NA NA NA NA NA
"32" 32 "8/7/00" NA NA NA NA NA NA NA NA NA NA
