"X" "week" "date" "X28542" "X29207" "X65473" "X78236" "X29905" "X76544" "X92055" "X42223" "X28310" "X95903" "X23665" "X80913" "X60088" "X36112" "X31905" "X68113" "X65305" "X23708" "X31314" "X23801" "X39534" "X79920" "X23511" "X94535" "X30905" "X22134" "X78234" "X92134" "X99506" "X9464" "X31409" "X89191" "X40121" "X98431" "X20889" "X59402" "X9094" "X32542" "X92278" "X99505" "X20762" "X22060" "X23604" "X32544" "X66442" "X28547" "X96859" "X33621" "X76311" "X32212" "X13602" "X84056" "X96319" "X96278" "X32214" "X96264" "X96860" "X92145" "X73503" "X45433" "X71110" "X79607" "X6349" "X62225" "X71459" "X9054" "X92136" "X85309" "X98278" "X96205" "X80840" "X20755" "X9096" "X9824" "X72099" "X96350" "X21702" "X80914" "X99011" "X32228" "X31547" "X82005" "X32570" "X73145" "X93246" "X9180" "X29152" "X98433" "X20310" "X99703" "X87117" "X9636" "X83648" "X29902" "X27531" "X9604" "X21010" "X32509" "X85707" "X78150"
"1" 2 1 "1/3/00" 0.008094889 0.006182394 0.003835015 0.005662537 0.008275616 0.005151032 0.002992893 0.005258461 0.006339535 0.004143284 0.006373532 0.001831748 0.003421354 0.006507561 0.006419374 0.002827713 0.003465319 0.00665698 0.00785075 0.005856076 0.008276694 0.002313872 0.006568134 0.00412054 0.006420095 0.005322458 0.005718406 0.005227167 0.003679542 NA 0.008398587 0.001680459 0.004882922 0.004869646 0.004927885 0.0025688 NA 0.008303879 0.001884376 NA 0.005247473 0.005299861 0.006287476 0.008320896 0.003009642 0.008417278 NA 0.011549807 0.003688161 0.010008183 0.003370859 0.002687018 NA NA 0.009970347 NA NA 0.004538186 0.003560656 0.004347377 0.005857393 0.003199661 0.004874531 0.003794555 0.006610591 NA 0.005289695 0.002110323 0.005017993 NA 0.001705125 0.005137524 NA NA 0.005240167 NA 0.004782759 0.001825077 0.00336518 0.009970347 0.009422329 0.001898953 0.007791173 0.003773814 0.003612101 0.004816843 0.006322387 0.005098924 0.005208589 NA 0.002113427 NA 0.002986682 0.008073063 0.006392398 NA 0.005082201 0.008591523 0.002080611 0.005727092
"2" 3 2 "1/10/00" 0.006445161 0.005263859 0.003824321 0.007372064 0.006984236 0.006027213 0.004123048 0.004318365 0.005022288 0.006565646 0.004690209 0.002278183 0.003224781 0.006068779 0.005834291 0.002490597 0.003193251 0.004856657 0.006407049 0.004051282 0.009279076 0.002597206 0.004839272 0.006201522 0.005533699 0.003590261 0.00742645 0.006138609 0.003950096 NA 0.007061236 0.002707121 0.00413183 0.00426166 0.003256134 0.001942184 NA 0.00858797 0.003155093 NA 0.003646322 0.003610089 0.004517983 0.0086309 0.002809915 0.00675004 NA 0.008887157 0.00414028 0.007779598 0.002532061 0.004049166 NA NA 0.007923109 NA NA 0.005649582 0.003900902 0.003411145 0.006419772 0.004043096 0.003402629 0.003451562 0.007857478 NA 0.006285326 0.002392772 0.004487773 NA 0.002295884 0.003513287 NA NA 0.005019465 NA 0.00317964 0.002295981 0.003183987 0.007923109 0.007668732 0.002327036 0.007947082 0.004057142 0.00479265 0.004926967 0.005421108 0.004521326 0.00355029 NA 0.002640999 NA 0.004071611 0.006768623 0.004775469 NA 0.003518845 0.009101824 0.001864532 0.007447148
"3" 4 3 "1/17/00" 0.003746766 0.003555789 0.003387286 0.007651683 0.00574347 0.006493549 0.006933026 0.003346079 0.002927876 0.006863773 0.002543166 0.002964358 0.002023684 0.006257029 0.00592162 0.002530778 0.003056894 0.00260661 0.005705243 0.002177591 0.009145017 0.003629092 0.002629517 0.007024115 0.004289566 0.001955478 0.007648797 0.008469869 0.00339679 NA 0.006076606 0.004858207 0.002768533 0.004184806 0.001747392 0.002479322 NA 0.0086524 0.005330229 NA 0.001948481 0.001945593 0.002380023 0.008694315 0.002879007 0.004064157 NA 0.008673722 0.004815559 0.007147486 0.00090064 0.00470963 NA NA 0.007235443 NA NA 0.008116983 0.004333775 0.002045612 0.006967263 0.005255151 0.001446752 0.00271498 0.008082842 NA 0.008534897 0.004456463 0.004617532 NA 0.002878352 0.001833102 NA NA 0.004999699 NA 0.001734241 0.002949623 0.002685165 0.007235443 0.006969921 0.003117718 0.008168257 0.004094933 0.007738636 0.005179549 0.003566005 0.004441563 0.001897311 NA 0.003530205 NA 0.003666208 0.00552759 0.002606801 NA 0.001723737 0.009124415 0.003848383 0.007665276
"4" 5 4 "1/24/00" 0.003955759 0.002984439 0.00211386 0.0040051 0.004931942 0.003108304 0.005496124 0.002229728 0.002486105 0.005978119 0.00292918 0.002684581 0.001973519 0.003706932 0.003517919 0.001867368 0.002112644 0.003046554 0.004659362 0.00229101 0.005832707 0.002877664 0.00306685 0.006511813 0.0030444 0.00207763 0.00393538 0.007379509 0.00358878 NA 0.005257815 0.00367311 0.001952119 0.003989688 0.001907136 0.002322873 NA 0.005687405 0.003710828 NA 0.002156712 0.002087806 0.002703967 0.005718415 0.002163872 0.004333473 NA 0.007905541 0.002696551 0.006868847 0.001362082 0.003461311 NA NA 0.006933907 NA NA 0.007006869 0.002679029 0.001541425 0.003195272 0.002894951 0.002207532 0.001726892 0.003488553 NA 0.007512992 0.003323577 0.004662599 NA 0.0025736 0.002064842 NA NA 0.002728786 NA 0.001904959 0.002633876 0.002697071 0.006933907 0.006601635 0.002468712 0.005096508 0.002518302 0.007229954 0.004662876 0.002973153 0.004251372 0.002078038 NA 0.003055676 NA 0.00323567 0.00469601 0.002460365 NA 0.002022444 0.006144815 0.003021761 0.003952603
"5" 6 5 "1/31/00" 0.004104639 0.00314014 0.002621613 0.005216452 0.004171483 0.004178089 0.004894666 0.002820383 0.00317621 0.006569737 0.003259504 0.002416661 0.002600288 0.003337334 0.003224526 0.002590821 0.002585707 0.003352523 0.003673423 0.002887524 0.004588108 0.003028809 0.003352891 0.006822847 0.003179554 0.002602088 0.00516173 0.006595713 0.003861037 NA 0.004230231 0.002586841 0.002767056 0.005040376 0.002468642 0.002860821 NA 0.004473993 0.003278519 NA 0.002606045 0.002597455 0.003131757 0.004487517 0.002703593 0.004380724 NA 0.007058461 0.003290725 0.005098049 0.001851933 0.003353912 NA NA 0.005135306 NA NA 0.006113512 0.003289718 0.002568924 0.003569868 0.003610294 0.002703043 0.002620481 0.003933478 NA 0.006704339 0.002523581 0.005279442 NA 0.002154271 0.002597275 NA NA 0.003017295 NA 0.002479649 0.002364951 0.003424777 0.005135306 0.004714639 0.002102038 0.003941841 0.003294108 0.006541122 0.004519674 0.00321114 0.005289801 0.002587816 NA 0.00291059 NA 0.003771946 0.003989407 0.00311562 NA 0.002573656 0.004797755 0.002355894 0.005179749
"6" 7 6 "2/7/00" 0.00605309 0.00519782 0.004426253 0.008356915 0.006762115 0.006548859 0.006024113 0.004750719 0.004858432 0.007062191 0.004315943 0.002789079 0.002983512 0.0067336 0.006475918 0.00283513 0.003889506 0.004576535 0.006213002 0.004002936 0.008847751 0.00256106 0.00450264 0.007370671 0.005530012 0.003514851 0.008325022 0.007632461 0.003862266 NA 0.006739246 0.003807213 0.004421173 0.004896384 0.003084715 0.002698928 NA 0.008242939 0.004072768 NA 0.00324539 0.003391132 0.004208538 0.008281443 0.003355733 0.006430044 NA 0.007729169 0.00452227 0.007249874 0.001800661 0.004971037 NA NA 0.007382827 NA NA 0.007365694 0.004325163 0.003219793 0.007316217 0.004487352 0.002822964 0.004035198 0.00863015 NA 0.00779365 0.003629492 0.005263447 NA 0.002599873 0.003137705 NA NA 0.005600623 NA 0.002991324 0.002779406 0.003547043 0.007382827 0.00720507 0.002827625 0.007759737 0.004737562 0.007331719 0.004672294 0.005284427 0.005198638 0.003257673 NA 0.002702279 NA 0.004765527 0.006589599 0.004614868 NA 0.002981099 0.008656606 0.002900358 0.008347525
"7" 8 7 "2/14/00" 0.007890789 0.006668745 0.004191087 0.008849733 0.00878975 0.007796951 0.005916973 0.005436432 0.006370014 0.006651563 0.005710855 0.00277577 0.002961357 0.008816734 0.008532628 0.00283584 0.00366487 0.00605121 0.008562052 0.005226004 0.010991645 0.003261876 0.005932069 0.006827051 0.007172155 0.004449982 0.008838413 0.00744139 0.003933664 NA 0.008773103 0.004870589 0.004872281 0.004116275 0.003848919 0.001919004 NA 0.010763994 0.004493252 NA 0.004224875 0.004324217 0.005648404 0.010788296 0.003456114 0.008166929 NA 0.011175637 0.00478244 0.010177533 0.002175313 0.00418674 NA NA 0.010231359 NA NA 0.007090733 0.004572495 0.003660243 0.007764164 0.005212126 0.003612441 0.003921206 0.009591635 NA 0.007524456 0.003911375 0.004309756 NA 0.00268276 0.004064111 NA NA 0.005723118 NA 0.00368195 0.002769072 0.002949863 0.010231359 0.009856077 0.002900962 0.01025072 0.004604843 0.00718066 0.00510947 0.006855835 0.004301797 0.004171548 NA 0.002895177 NA 0.003787987 0.00868189 0.006209615 NA 0.003914553 0.01109256 0.003169996 0.008854753
"8" 9 8 "2/21/00" 0.007316894 0.006563202 0.007006865 0.009449103 0.008002416 0.008464331 0.006071938 0.007017833 0.006499629 0.006642327 0.006113974 0.002630748 0.005821864 0.007102883 0.006879464 0.00668257 0.006969533 0.00631793 0.007536547 0.006094101 0.009795121 0.003135336 0.006220704 0.006745292 0.006799948 0.00567811 0.009450773 0.007445636 0.003848556 NA 0.008029892 0.004963437 0.00672299 0.005210906 0.005241907 0.003633288 NA 0.008685549 0.004362877 NA 0.005468096 0.005595158 0.006163285 0.008747332 0.006955136 0.007595041 NA 0.009259456 0.006844299 0.008957464 0.004112957 0.00431572 NA NA 0.009052462 NA NA 0.007198663 0.006898249 0.00669698 0.008644445 0.006183822 0.004494016 0.007114586 0.009095908 NA 0.007513796 0.004810321 0.005417343 NA 0.002708187 0.005343084 NA NA 0.008132107 NA 0.005201097 0.002669906 0.004060108 0.009052462 0.008755417 0.003367111 0.008129844 0.007058168 0.006817903 0.004860865 0.006703302 0.00551457 0.005465668 NA 0.002637551 NA 0.004399871 0.007843955 0.006329096 NA 0.005219295 0.009422852 0.003978211 0.009463099
"9" 10 9 "2/28/00" 0.006297089 0.005941532 0.004674557 0.008548037 0.007905131 0.007357995 0.005718735 0.004706569 0.005554056 0.006511332 0.004908122 0.003284403 0.004162491 0.006842905 0.006814994 0.004820286 0.004606393 0.005039921 0.0073157 0.004632437 0.009148547 0.002457431 0.005004964 0.006523097 0.00637772 0.004325896 0.008548965 0.007199012 0.003932646 NA 0.007978028 0.004614101 0.004552998 0.005281243 0.003894728 0.004031322 NA 0.009000846 0.003870826 NA 0.004169903 0.004230948 0.004843092 0.00900858 0.004954392 0.006538952 NA 0.010499824 0.005291815 0.008823692 0.003296427 0.004695425 NA NA 0.008875391 NA NA 0.006890964 0.005256697 0.004111731 0.006853723 0.004894365 0.00392192 0.00432676 0.007926199 NA 0.007256641 0.003888664 0.005619403 NA 0.003142246 0.004074527 NA NA 0.005847709 NA 0.003853009 0.003316248 0.004732286 0.008875391 0.00852944 0.003392441 0.008328228 0.004921717 0.006802023 0.00481607 0.006050962 0.005585194 0.004128941 NA 0.002827272 NA 0.004769407 0.007651996 0.005282956 NA 0.004123729 0.009268069 0.003183606 0.00856527
"10" 11 10 "3/6/00" 0.009119775 0.008048679 0.005456801 0.010126329 0.009401883 0.008113011 0.005376079 0.005713932 0.008238384 0.006478757 0.007341918 0.003460984 0.005044988 0.008431306 0.008461853 0.005357642 0.005190398 0.007608479 0.008487776 0.007279633 0.01043455 0.002749537 0.007492159 0.006486461 0.008301397 0.006703727 0.010139383 0.006826475 0.003732361 NA 0.009309117 0.00443262 0.00559055 0.004703446 0.006005203 0.003348157 NA 0.010119494 0.003952006 NA 0.006372376 0.006533852 0.00737654 0.01014829 0.005540405 0.0094439 NA 0.010388839 0.006129615 0.009451836 0.00409692 0.004326975 NA NA 0.009610227 NA NA 0.006544772 0.00608984 0.005425655 0.008809458 0.005686347 0.004766707 0.005344621 0.009821005 NA 0.006899264 0.005469006 0.005103564 NA 0.00325524 0.006253682 NA NA 0.006637539 NA 0.005867727 0.003506162 0.004276498 0.009610227 0.009443137 0.003402871 0.009511198 0.00586745 0.006343899 0.004678594 0.00820493 0.005005689 0.006344386 NA 0.002890305 NA 0.004332655 0.00918208 0.007707663 NA 0.006211902 0.010519038 0.004808092 0.010162674
