"X" "week" "date" "X23708" "X80913" "X78236" "X92134" "X23665" "X92055" "X99506" "X29207" "X78234" "X32542" "X42223" "X23511" "X76544" "X79920" "X22134" "X89191" "X28547" "X94535" "X98431" "X28310" "X32214" "X85309" "X30905" "X20762" "X22060" "X40121" "X39534" "X23801" "X29905" "X23604" "X32228" "X20889" "X92278" "X60088" "X9180" "X83648" "X66442" "X36112" "X87117" "X96859" "X65473" "X29152" "X31314" "X96319" "X96350" "X78843" "X84056" "X31905" "X57706" "X71459"
"1" 1 13 "3/30/09" 0.007230209 0.002653587 0.00665289 0.007215244 0.006811404 0.005443252 0.004118395 0.008482852 0.00684141 0.011393014 0.006494687 0.00705151 0.006725584 0.002489294 0.006126334 0.002233036 0.008863235 0.004965223 0.004285982 0.007962801 0.011391623 0.002610087 0.008605234 0.006052184 0.006084449 0.006048637 0.011328982 0.0066378 0.00995621 0.006799979 0.011391623 0.005890955 0.002290821 0.003889476 0.0050858 0.003082778 0.004096182 0.009477695 0.002117367 0.015803711 0.005425749 0.008581658 0.009951678 0.008897021 0.006340631 0.005019177 0.003651617 0.009272859 0.003056726 0.00867143
"2" 2 14 "4/6/09" 0.006544589 0.00289744 0.005199194 0.007115654 0.006171297 0.005440519 0.003926531 0.007058868 0.005329609 0.009178173 0.005577137 0.006404705 0.005328223 0.002721739 0.004928922 0.002829286 0.007794709 0.006278255 0.005130834 0.006813255 0.008986153 0.003418219 0.00729707 0.005031406 0.004915897 0.005141509 0.009103303 0.005660976 0.008550396 0.006115197 0.008986153 0.004486535 0.003119501 0.003108235 0.004657 0.004551201 0.003910258 0.007826213 0.002629741 0.014458858 0.004460613 0.00711931 0.00821486 0.008269595 0.006111171 0.004992532 0.004657002 0.007848341 0.003432405 0.007702933
"3" 3 15 "4/13/09" 0.00667515 0.004158611 0.008534628 0.006636986 0.006428899 0.004799506 0.003288208 0.007670452 0.008544542 0.010581551 0.007430241 0.006623072 0.008449645 0.002715278 0.00515863 0.003353707 0.007846939 0.005976471 0.004677841 0.007157264 0.010662159 0.003333682 0.007860061 0.005214804 0.005146372 0.007055633 0.011051543 0.005807839 0.009564907 0.006228386 0.010662159 0.004827958 0.002807534 0.004948415 0.004601689 0.00390859 0.006698929 0.008990773 0.00345821 0.015216302 0.007197804 0.007747845 0.009446033 0.008401585 0.007256425 0.007901775 0.005090299 0.008675781 0.005482069 0.010120479
"4" 4 16 "4/20/09" 0.009283213 0.003725764 0.009734278 0.007344461 0.008732377 0.005481648 0.003535676 0.0093681 0.009932907 0.011515971 0.008309032 0.009040866 0.009708219 0.002156382 0.007701065 0.002766522 0.010465138 0.006917628 0.005146105 0.009434511 0.010572632 0.002624673 0.009299311 0.007692368 0.007656711 0.008068694 0.011873576 0.008428886 0.010937591 0.008771947 0.010572632 0.00710463 0.00289309 0.007298065 0.005134325 0.003554418 0.008618313 0.009724384 0.00252785 0.013995945 0.008533522 0.009625701 0.010466658 0.008452175 0.006688603 0.009120228 0.004784389 0.009543232 0.004614084 0.011039466
"5" 5 17 "4/27/09" 0.011530211 0.005547652 0.014610931 0.007923722 0.010898318 0.006783828 0.003745993 0.01209915 0.014633063 0.013504101 0.011487149 0.011197127 0.014673736 0.00229167 0.010169423 0.003826371 0.012822737 0.006797729 0.00523764 0.012039406 0.012709232 0.003129852 0.011933479 0.010027292 0.010095001 0.010807939 0.014412972 0.011064039 0.012793041 0.01106854 0.012709232 0.009509724 0.004264397 0.007718568 0.004793014 0.004352263 0.008372361 0.013199874 0.002669852 0.013420305 0.010369859 0.012157695 0.01226435 0.007244106 0.006641951 0.01444642 0.005223615 0.012566641 0.004774681 0.014605323
"6" 6 18 "5/4/09" 0.013143053 0.004923692 0.013685022 0.009058347 0.012371178 0.007396832 0.003423485 0.014008627 0.01374518 0.015598521 0.011300537 0.012775812 0.013923421 0.003060222 0.010638269 0.00343318 0.014549088 0.008356455 0.005690916 0.013707321 0.014484991 0.003810975 0.013874566 0.010316917 0.0105306 0.010297583 0.016222159 0.01219922 0.014984162 0.012480593 0.014484991 0.009943155 0.004080655 0.007543579 0.005426687 0.004601466 0.008394893 0.015071982 0.003593183 0.01090732 0.009825585 0.014208107 0.014713811 0.007707196 0.007248188 0.012729584 0.005404407 0.014538805 0.005061427 0.015446912
"7" 7 19 "5/11/09" 0.011016278 0.005092286 0.013340743 0.008952436 0.010570414 0.007249452 0.003575671 0.012788547 0.013367212 0.015384714 0.011229043 0.010809322 0.013003116 0.003232405 0.010016361 0.003140538 0.01265688 0.007380045 0.006070634 0.011718903 0.015279488 0.003705406 0.012803087 0.009773716 0.009940713 0.01013442 0.016073323 0.010733543 0.014219747 0.010633305 0.015279488 0.009532768 0.003951439 0.006984905 0.004496539 0.004118019 0.00892067 0.014470273 0.003752389 0.011751911 0.009949915 0.012967174 0.014321247 0.0078292 0.007623299 0.013540388 0.00490494 0.014058653 0.005439138 0.015016631
"8" 8 20 "5/18/09" 0.009937 0.00667295 0.008866814 0.008648053 0.009631759 0.006409533 0.003679747 0.011253001 0.008886792 0.012828013 0.010092383 0.009812915 0.008493402 0.006281561 0.008853524 0.004101997 0.011652325 0.007382367 0.006852923 0.010726055 0.014151735 0.005999087 0.011204317 0.009065072 0.008898015 0.009484816 0.01286016 0.009411463 0.013137483 0.009568241 0.014151735 0.008470183 0.00364193 0.008925864 0.004670923 0.004999016 0.009518264 0.011307958 0.006084016 0.01334824 0.010298827 0.011239769 0.01268546 0.008402482 0.006457679 0.009114907 0.006535945 0.011547554 0.00772345 0.011192277
"9" 9 21 "5/25/09" 0.01408663 0.006709659 0.011975727 0.008992864 0.013457323 0.007548218 0.003424288 0.014215269 0.011773106 0.014966651 0.013589233 0.013712154 0.009743126 0.005023227 0.01286656 0.004472889 0.015092264 0.007527979 0.008610977 0.014481243 0.015792482 0.003640064 0.014105661 0.012543454 0.012765739 0.013374392 0.01519609 0.014010202 0.015434887 0.0137538 0.015792482 0.01219921 0.003822754 0.008829599 0.004321944 0.00582739 0.010077876 0.014573009 0.005076557 0.011249433 0.012630666 0.014311897 0.015189744 0.007475282 0.006757119 0.011613119 0.006678384 0.014625822 0.008123083 0.013132434
"10" 10 22 "6/1/09" 0.013917283 0.006701148 0.011411049 0.009266494 0.013383557 0.007582912 0.003285564 0.014319645 0.011438678 0.014949803 0.012221376 0.013695571 0.010305241 0.003732293 0.012077666 0.004151303 0.015440271 0.007921554 0.00991716 0.014471466 0.015683404 0.003431322 0.014306276 0.011889646 0.012003669 0.011670907 0.015019822 0.013136695 0.015377595 0.013299225 0.015683404 0.011294792 0.004093565 0.008184752 0.005169073 0.008397028 0.010965632 0.014551659 0.004107265 0.012671515 0.011839766 0.014293073 0.015048263 0.008100802 0.006896869 0.011089703 0.00739135 0.014611973 0.007078541 0.0132853
