"","mean","sd"
"t0",192.580136711215,5.76607177710944
"pC",0.0593964267108175,0.0122893390071758
"R0",1.14341910238619,0.0198058859392647
"seed",3.86673580275642,0.08030743461853
"e_nonflu",2174.87953619309,37.4533687078401
"delta",-0.0620392127232741,0.0904339456450493
"ts",277.367400746287,4.80741304922077
"dur",37.1084799118984,2.02646968418654
"AICc",20283.4527616279,0
"t0",234.191836133415,16.3072698980346
"pC",0.0503414382031302,0.0131354412204412
"R0",1.15171373920676,0.0248124390557899
"seed",5.84742288824953,0.0618724073612732
"e_nonflu",17438.1510054977,914.726005891217
"delta",-0.220769807926299,0.0744969195570364
"ts",276.148539602021,5.81920918105529
"dur",60.6119235474386,2.91348676433585
"AICc",17024.3082303779,0
"t0",188.69076651114,6.0754851728292
"pC",0.0311803513516982,0.00807081456470823
"R0",1.17984106216902,0.0144537885298301
"seed",8.75405797987808,2.55218767974234
"e_nonflu",22061.0964747299,304.565164091927
"delta",-0.214195516017944,0.138074782278606
"ts",282.595864755136,1.60013592042686
"dur",31.9303220584069,2.09743897582218
"AICc",6099.25500772166,0
"t0",199.892580573941,9.07564530091103
"pC",0.121925150998581,0.00808545925010659
"R0",0.905172760103956,0.0301511142475611
"seed",7.86472056235796,0.152749549903919
"e_nonflu",18144.2369068287,629.941927415538
"delta",0.805260694321291,0.176866881541092
"ts",277.515956548997,2.92952624317428
"dur",26.3201688130697,2.38665715473218
"AICc",37304.6597928779,0
"t0",190.543580043463,5.66661003227712
"pC",0.0820987845460574,0.00756053898392338
"R0",1.13958055296062,0.0507533661445422
"seed",8.58761953424524,0.086714124808368
"e_nonflu",14730.4275535301,193.717615918511
"delta",-0.0869132216145244,0.0601613807129543
"ts",326.449985833816,1.84880498807616
"dur",39.6665368256745,2.82022332262825
"AICc",8328.44592569041,0
"t0",202.646920663339,5.51261626600929
"pC",0.0713398017817073,0.00666759413855744
"R0",1.24723033846161,0.0192456112607988
"seed",1.54246797385039,0.1719947811242
"e_nonflu",30230.9314718364,481.513271073948
"delta",-0.224180055805195,0.0176795190538163
"ts",325.454242470824,3.21434397741947
"dur",56.3794996473524,4.09403436380416
"AICc",26964.0836210029,0
"t0",192.989419819396,4.69883423108679
"pC",0.0517385369971579,0.00905910860992599
"R0",1.40480448728726,0.024019716610552
"seed",2.49143173665176,0.118018464825571
"e_nonflu",489.420616997613,62.0792164543001
"delta",0.222566986617483,0.0896017942824324
"ts",297.788657482759,4.15378522434198
"dur",17.8001927976255,4.05056861547894
"AICc",20205.3941678779,0
"t0",189.188472418138,6.67578098278385
"pC",0.0141969836348622,0.00706906119302552
"R0",1.21572537186705,0.0173124831368715
"seed",9.42449630925685,0.106472288238974
"e_nonflu",2891.64231589988,64.1589739091391
"delta",0.37320551165828,0.091166965916565
"ts",297.933927182798,3.63229384396261
"dur",16.9895055087996,2.75543720217491
"AICc",9966.87561319041,0
"t0",240.572516358929,10.0572531659663
"pC",0.141763358112471,0.0210579190090803
"R0",0.978733900888467,0.023597449874583
"seed",6.27965622183717,0.304226159810198
"e_nonflu",22785.3361304012,560.347337411211
"delta",-0.185962551802305,0.111394958469365
"ts",282.906062750169,3.48762486364385
"dur",13.769355085161,2.65713057992324
"AICc",14450.3258085029,0
"t0",329.284949408637,5.90240164438237
"pC",0.0465012789922364,0.010526633085857
"R0",1.30840341544446,0.0193473647015306
"seed",3.63379894362556,0.0835687011866038
"e_nonflu",2212.18892566069,44.5193442970234
"delta",-0.488178593876921,0.0522875920703731
"ts",260.454423880871,2.9400746088825
"dur",52.6237648387014,5.07057882383162
"AICc",30050.9254178779,0
"t0",192.066576168861,12.8100466086759
"pC",0.0268918952594201,0.00228495200396614
"R0",1.20363719669389,0.012124375305828
"seed",1.95100884084348,0.0521768360421248
"e_nonflu",157834.943287037,2757.27127422757
"delta",0.124783555022728,0.523140263993035
"ts",317.156875798732,0.71124431206786
"dur",0.0118958383085735,0.000532554143359252
"AICc",2289.75460684878,119.405532709955
