"","mean","sd"
"t0",233.571631914304,15.5710281843899
"pC",0.0654356130571277,0.0104536980601991
"R0",1.09197477793988,0.0398654903650169
"seed",3.97611858520979,0.106701792901689
"e_nonflu",1182.29822154104,81.1879285096506
"delta",-0.38976126762084,0.0925646979338398
"ts",261.048664234303,1.97623229279145
"dur",9.11504721761118,4.54736177633755
"AICc",21728.7789335029,0
"t0",189.737093701775,5.06517480643627
"pC",0.0279537119132317,0.00726515529421398
"R0",1.10556242053891,0.0242960946944266
"seed",5.14752877200091,0.183707652701414
"e_nonflu",24342.5330343364,626.519576894234
"delta",0.0494357011752364,0.0983998799950946
"ts",258.685936821832,1.56304251416024
"dur",42.232223275267,2.73410517353001
"AICc",7770.67639444041,0
"t0",200.435426311728,9.10634751162906
"pC",0.0977678537184809,0.0077417389243547
"R0",1.12292459717503,0.0397688317967628
"seed",5.42448457082113,0.0919252694391999
"e_nonflu",10095.8885271991,273.459979142505
"delta",-0.182695145770493,0.143677828110522
"ts",278.568365779924,4.35340014527325
"dur",85.3633446399077,2.34155384078186
"AICc",11706.0181913154,0
"t0",192.149419902283,5.88427055522142
"pC",0.074767732463869,0.0110729663127537
"R0",1.1157099067429,0.0247122423762125
"seed",4.61389430363973,0.0774835894291723
"e_nonflu",22250.8979552469,629.247916205246
"delta",0.514523124621238,0.0883378790767751
"ts",291.759076907311,3.42348078761183
"dur",28.9987275865343,2.67893168456984
"AICc",30333.8902616279,0
"t0",194.141661090615,6.66701980270904
"pC",0.0800775420150639,0.0105874312649358
"R0",1.06420743465424,0.0228004243918277
"seed",9.1692199236081,0.244714713228759
"e_nonflu",9981.97208960262,117.905710657755
"delta",-0.0720436860907835,0.0791168295343877
"ts",292.046101511261,4.87979562658919
"dur",54.1605110168457,2.37471313332189
"AICc",23472.1246366279,0
"t0",192.378048932111,5.34289663479735
"pC",0.113761164891867,0.0122247301681683
"R0",1.07596568266551,0.021473243617856
"seed",4.31568723254734,0.159328108157239
"e_nonflu",30954.7367380401,466.720905738135
"delta",-0.335819668791912,0.0584570950486949
"ts",291.855102915823,4.02200369875041
"dur",47.3641708750784,2.19163892217758
"AICc",18771.2496366279,0
"t0",315.050418053144,10.5760933301954
"pC",0.0493205414832006,0.0164315077755464
"R0",1.20321983025398,0.0262179575953277
"seed",2.04142502943675,0.085520974794073
"e_nonflu",957.358986183449,13.3064690799488
"delta",0.257287621314143,0.081297360346322
"ts",300.412541142216,2.88766964997201
"dur",65.7545496151771,2.05986388268102
"AICc",8473.60217569041,0
"t0",192.723408828547,6.45811763140916
"pC",0.00799860938499433,0.00917881550176516
"R0",1.26314308172391,0.0251047706330413
"seed",2.99275439462544,0.126545165783608
"e_nonflu",2960.49268783758,102.020447711528
"delta",0.445204446759121,0.261313471445208
"ts",277.634535424503,2.20844462970219
"dur",61.2679902064947,2.25465074711931
"AICc",25425.2906522529,0
"t0",325.672587076823,10.0285085612041
"pC",0.0651216310575421,0.00728648951107965
"R0",1.14424141248067,0.0197790142624742
"seed",5.08119866288738,0.117084952615207
"e_nonflu",24138.9042004244,637.080604634785
"delta",-0.414218050646193,0.122496500865959
"ts",297.772752173153,5.19649892733258
"dur",14.6238436169095,2.06661091450274
"AICc",103117.515261628,0
"t0",227.305889930254,6.11419595959791
"pC",0.0550836000913455,0.0067553741920364
"R0",1.05916066522951,0.0395265095844796
"seed",6.71967228548026,0.1015991367575
"e_nonflu",352.205705807533,23.5476338179298
"delta",0.109288288355104,0.0769426106234262
"ts",278.305869773582,3.5211931122623
"dur",19.906170103285,1.8885111975547
"AICc",42727.3824491279,0
"t0",193.897854651934,14.5912333592939
"pC",0.0392287676625046,0.0106948424424459
"R0",1.16039033142137,0.0287565594912631
"seed",7.54293249271534,0.272120317605688
"e_nonflu",152070.613811728,9044.04201112498
"delta",0.453460968651429,0.331375757716881
"ts",279.09287516276,1.51741778047603
"dur",10.2820888330907,1.18176137918238
"AICc",1789.8119301633,375.256976078332
