"Location","Target","Point Est","Actual.Value","Log.score","Absolute.error"
" 1","Start week","52.0","52.00000"," -0.91629073","0.00000"
" 2","Start week","47.0","47.00000","  0.00000000","0.00000"
" 3","Start week","51.0","51.00000"," -0.10536052","0.00000"
" 4","Start week","45.0","44.00000","  0.00000000","1.00000"
" 5","Start week","52.0","52.00000"," -0.22314355","0.00000"
" 6","Start week"," 3.0","52.00000"," -1.20397280","3.00000"
" 7","Start week","50.0","52.00000"," -0.05129329","2.00000"
" 8","Start week"," 4.0","51.00000"," -0.91629073","5.00000"
" 9","Start week",NA,"51.00000"," -1.60943791",NA
"10","Start week","50.0","50.00000","  0.00000000","0.00000"
" 1","Peak week"," 6.0"," 2.00000"," -3.33447488","4.00000"
" 2","Peak week"," 6.0"," 2.00000"," -4.05322978","4.00000"
" 3","Peak week"," 5.0"," 2.00000"," -2.45945958","3.00000"
" 4","Peak week","51.0","52.00000"," -0.46423835","1.00000"
" 5","Peak week"," 7.0","52.00000","-10.00000000","7.00000"
" 6","Peak week"," 6.0"," 2.00000"," -2.83230365","4.00000"
" 7","Peak week"," 5.0"," 2.00000"," -3.64011180","3.00000"
" 8","Peak week","51.0"," 1.00000"," -3.95548729","2.00000"
" 9","Peak week"," 4.0","52.00000","-10.00000000","4.00000"
"10","Peak week"," 3.0","52.00000","-10.00000000","3.00000"
" 1","Peak intensity"," 2.9"," 1.60022"," -3.15976397","1.29978"
" 2","Peak intensity"," 6.2"," 6.01519"," -0.32629570","0.18481"
" 3","Peak intensity"," 4.0"," 3.52219"," -0.65379645","0.47781"
" 4","Peak intensity"," 3.7"," 3.41252"," -0.31872922","0.28748"
" 5","Peak intensity"," 2.9"," 2.44515"," -0.67091406","0.45485"
" 6","Peak intensity"," 4.8"," 4.76506"," -0.41339750","0.03494"
" 7","Peak intensity"," 4.2"," 3.53388"," -1.05968602","0.66612"
" 8","Peak intensity"," 2.1"," 2.18472"," -0.28375323","0.08472"
" 9","Peak intensity"," 2.5"," 3.29923"," -3.26453133","0.79923"
"10","Peak intensity"," 4.4"," 3.91294"," -0.61963014","0.48706"
" 1","Forecast"," 1.9"," 1.59394"," -0.13605159","0.30606"
" 1","Forecast"," 2.2"," 1.60022"," -1.32747402","0.59978"
" 1","Forecast"," 2.5"," 0.00000",NA,NA
" 1","Forecast"," 2.7"," 0.00000",NA,NA
" 2","Forecast"," 4.8"," 5.90329"," -2.00110806","1.10329"
" 2","Forecast"," 5.2"," 6.01519"," -1.15524456","0.81519"
" 2","Forecast"," 5.6"," 0.00000",NA,NA
" 2","Forecast"," 5.9"," 0.00000",NA,NA
" 3","Forecast"," 3.0"," 2.83603"," -0.23436312","0.16397"
" 3","Forecast"," 3.3"," 3.52219"," -0.21113465","0.22219"
" 3","Forecast"," 3.4"," 0.00000",NA,NA
" 3","Forecast"," 3.7"," 0.00000",NA,NA
" 4","Forecast"," 1.7"," 3.01167"," -3.03614096","1.31167"
" 4","Forecast"," 2.1"," 2.90646"," -3.06154595","0.80646"
" 4","Forecast"," 2.5"," 0.00000",NA,NA
" 4","Forecast"," 2.8"," 0.00000",NA,NA
" 5","Forecast"," 2.1"," 2.11850"," -0.16399842","0.01850"
" 5","Forecast"," 2.3"," 2.15408"," -0.18774045","0.14592"
" 5","Forecast"," 2.5"," 0.00000",NA,NA
" 5","Forecast"," 2.7"," 0.00000",NA,NA
" 6","Forecast"," 3.2"," 4.15649"," -1.81264495","0.95649"
" 6","Forecast"," 3.7"," 4.76506"," -2.46054237","1.06506"
" 6","Forecast"," 4.1"," 0.00000",NA,NA
" 6","Forecast"," 4.5"," 0.00000",NA,NA
" 7","Forecast"," 3.2"," 3.03072"," -0.60854828","0.16928"
" 7","Forecast"," 3.6"," 3.53388"," -0.76891080","0.06612"
" 7","Forecast"," 3.8"," 0.00000",NA,NA
" 7","Forecast"," 4.0"," 0.00000",NA,NA
" 8","Forecast"," 0.9"," 2.18472"," -2.65680673","1.28472"
" 8","Forecast"," 1.2"," 1.98812"," -2.11334272","0.78812"
" 8","Forecast"," 1.4"," 0.00000",NA,NA
" 8","Forecast"," 1.6"," 0.00000",NA,NA
" 9","Forecast"," 2.3"," 3.01539"," -2.73432759","0.71539"
" 9","Forecast"," 2.4"," 2.95889"," -1.09021398","0.55889"
" 9","Forecast"," 2.5"," 0.00000",NA,NA
" 9","Forecast"," 2.5"," 0.00000",NA,NA
"10","Forecast"," 3.7"," 3.18632"," -0.51305522","0.51368"
"10","Forecast"," 4.2"," 2.18709"," -9.79015887","2.01291"
"10","Forecast"," 4.4"," 0.00000",NA,NA
"10","Forecast"," 4.3"," 0.00000",NA,NA
